market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,market_display,rent_to_value,growth_score,value_score,balanced_score
"Wichita, KS",1173.0530754530755,1119.9885134151166,94,4.737955916722057,wichita,"Wichita, KS",220488.0679961564,214599.1334347635,94,2.7441557974338675,,0.0,,"Wichita, KS",0.06384307791967361,2.718429105918983,4.414160659071479,3.3842872827685557
"Milwaukee, WI",1503.898724650894,1451.1699191597063,41,3.633537657789944,milwaukee,"Milwaukee, WI",379291.409236208,360443.26959561225,41,5.229155662066274,,0.0,,"Milwaukee, WI",0.04758026218456187,3.02216176173586,3.6286362069927103,3.3489554565447897
"Las Vegas, NV",1726.839913721102,1732.935835731475,30,-0.35176847778670867,las vegas,"Las Vegas, NM",257447.45428697427,239964.0482889586,804,7.2858439098187695,,0.0,,"Las Vegas, NV",0.08049051804394429,2.045045781830947,4.68275659762175,3.3257407949975657
"Jackson, MS",1440.2537343620454,1384.855085679858,98,4.000320990624879,jackson,"Jackson, MS",210759.1148796135,206796.14137672188,98,1.9163672380483436,,0.0,,"Jackson, MS",0.08200378342932733,2.175038567664455,5.091890093396177,3.3192637752860965
"Hartford, CT",1931.1910957081727,1877.5656516578413,49,2.856115524002135,hartford,"Hartford, CT",389416.08129060426,370646.2943580856,49,5.06406976630527,,0.0,,"Hartford, CT",0.059510365036014284,2.661667139492435,4.053148333231668,3.313059399497244
"Rochester, NY",1533.5048992555078,1486.2245516305238,52,3.1812384994658522,rochester,"Rochester, NY",273095.6739503352,263387.96967507305,52,3.685705268633941,,0.0,,"Rochester, NY",0.06738319404654014,2.3782069803765236,4.373977929083571,3.2234617479290435
"Winston, NC",1508.340138181601,1446.363106137069,89,4.285025785126644,winston,"Winston, NC",280078.4807090881,273447.2471786535,89,2.4250503886412025,,0.0,,"Winston, NC",0.06462503514141597,2.441525430643018,4.330761952960248,3.1842710355266135
"Providence, RI",2127.3318326062013,2028.3066831371468,39,4.882158614982916,providence,"Providence, RI",514315.2176474589,499966.0730888853,39,2.87002365378952,,0.0,,"Providence, RI",0.04963489532361602,2.8138705421300223,3.7451788545563365,3.1748514044145755
"New Haven, CT",2088.849338798614,2040.336147913923,68,2.377705797855508,new haven,"New Haven, CT",397332.86244724976,379960.30902418384,68,4.572202151241063,,0.0,,"New Haven, CT",0.06308612862071326,2.3227429645145223,4.087067805730872,3.1180848495811837
"Pittsburgh, PA",1478.5450759029336,1422.435563740758,27,3.944608359946891,pittsburgh,"Pittsburgh, PA",224487.2591324515,221606.41402054208,27,1.299982730482867,,0.0,,"Pittsburgh, PA",0.07903584808956479,1.9678381631236166,4.870712349515904,3.08909515239608
"St. Louis, MO",1415.989568522473,1364.3489907178323,21,3.784997691644191,st louis,"St. Louis, MO",270704.4865033018,263559.72832673404,21,2.7108686983128387,,0.0,,"St. Louis, MO",0.0627690920152608,2.3272596861515282,4.166541008923162,3.0685983223766833
"Richmond, VA",1690.906071815458,1631.8941842261806,45,3.6161589495007584,richmond,"Richmond, KY",262209.59672088845,257949.84207838064,373,1.6513887382855807,,0.0,,"Richmond, VA",0.077384173255048,1.9418802012859775,4.7575793264811095,3.045378334522583
"Rochester, NY",1533.5048992555078,1486.2245516305238,52,3.1812384994658522,rochester,"Rochester, MN",335379.7053654,322692.74832482584,207,3.931590377049114,,0.0,,"Rochester, NY",0.05486932720337637,2.451972512901075,3.7728730977669005,3.034655688169561
"Jackson, MS",1440.2537343620454,1384.855085679858,98,4.000320990624879,jackson,"Jackson, TN",205612.36339392225,204548.55691755292,246,0.520075278163958,,0.0,,"Jackson, MS",0.08405644741913132,1.756150979699139,5.054894096897938,3.0112440651110797
"Allentown, PA",1809.255419192313,1747.1264248207658,70,3.556067465347898,allentown,"Allentown, PA",357470.0893738984,347449.1303151787,70,2.8841514294853625,,0.0,,"Allentown, PA",0.06073533332071012,2.287672414984768,4.036395302053622,3.0025647633899126
"Harrisburg, PA",1445.832280911996,1400.8093620467769,99,3.2140646746845194,harrisburg,"Harrisburg, PA",306956.080254164,296340.3677348082,99,3.5822701444629725,,0.0,,"Harrisburg, PA",0.056522703041353387,2.3603069132126997,3.827175101450871,2.990240999348167
"Cincinnati, OH",1549.064240175312,1494.5149922233306,28,3.6499632479986492,cincinnati,"Cincinnati, OH",305194.83921496774,297607.65928626055,28,2.549390007939713,,0.0,,"Cincinnati, OH",0.06090788078172749,2.2248023015813736,4.030325689480075,2.950494092019073
"Bridgeport, CT",2766.550759286882,2712.053542951267,60,2.009444705738038,bridgeport,"Bridgeport, CT",674486.495616743,640946.1569915239,60,5.232941684626189,,0.0,,"Bridgeport, CT",0.049220569021305824,2.373660387683072,3.386211560675518,2.895480213304075
"Philadelphia, PA",1868.832651986005,1808.0784217438331,7,3.360154599023219,philadelphia,"Philadelphia, PA",383957.83059877664,373920.1232399102,7,2.6844523027786313,,0.0,,"Philadelphia, PA",0.0584074344540885,2.149397530442877,3.860847872786932,2.847308144483393
"Kansas City, MO",1503.3240640764095,1456.915110831978,31,3.185426034735102,kansas city,"Kansas City, MO",323088.455147229,313483.8649472716,31,3.063822822770458,,0.0,,"Kansas City, MO",0.05583575792176254,2.1933172607251783,3.7352553853121933,2.838298674548396
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,columbus,"Columbus, NE",276540.96754457854,265759.49759407545,780,4.05685217202316,,0.0,,"Columbus, OH",0.06567794033531144,1.8972468578614392,4.029677837095133,2.837915254402887
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,columbus,"Columbus, GA",207454.3339131012,202959.0577594703,158,2.214868458326365,,0.0,,"Columbus, OH",0.08755006860579793,1.3446517437524006,4.939085879249779,2.8148618913884187
"Detroit, MI",1473.3170913555934,1439.8213597439849,14,2.326381073938537,detroit,"Detroit, MI",262839.8217654431,255116.5363680326,14,3.0273558536671348,,0.0,,"Detroit, MI",0.06726456051261703,1.8387591856755552,4.131239825785272,2.8000444958506856
"Little Rock, AR",1209.303280750517,1178.9404647568429,81,2.575432509218048,little rock,"Little Rock, AR",227427.75653036404,221153.61075721437,81,2.8370080649678044,,0.0,,"Little Rock, AR",0.06380768816610449,1.8812754231775606,3.9891717166456147,2.758035532329455
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,columbus,"Columbus, IN",272361.0609095933,262865.6226224647,445,3.612278468518572,,0.0,,"Columbus, OH",0.06668589520838655,1.7638747468100626,4.035618210398431,2.7469309259882424
"Cleveland, OH",1418.9251664691158,1356.874857160372,35,4.573031107570299,cleveland,"Cleveland, TN",308473.08157988515,305820.53543072706,334,0.867353837250388,,0.0,,"Cleveland, OH",0.05519801569207551,2.089418594203236,3.761242389842874,2.692708105425197
"Tulsa, OK",1350.049102641662,1318.777549271087,56,2.3712530887304983,tulsa,"Tulsa, OK",250274.8652438059,243918.18871980635,56,2.606069091182693,,0.0,,"Tulsa, OK",0.06473118751225018,1.7303219628470072,3.971416902476878,2.6575169496598265
"Omaha, NE",1411.7868121280287,1363.9563844700192,59,3.5067417259529576,omaha,"Omaha, NE",304632.4245030368,298929.0595791356,59,1.9079325817071668,,0.0,,"Omaha, NE",0.0556127331920554,1.9750764648933332,3.672778262964078,2.641260327053787
"Minneapolis, MN",1681.2579918505862,1622.5171141739863,16,3.6203548895386857,minneapolis,"Minneapolis, MN",386374.1840177592,379073.8092049751,16,1.9258452141800795,,0.0,,"Minneapolis, MN",0.052216469776561754,2.0258955200694984,3.527478988153833,2.6118971659378607
"Richmond, VA",1690.906071815458,1631.8941842261806,45,3.6161589495007584,richmond,"Richmond, VA",391101.78957448015,383881.197441924,45,1.8809444642436577,,0.0,,"Richmond, VA",0.051881309169825134,2.0107469190734006,3.505391694815774,2.5927099843076444
"Washington, DC",2346.928710141152,2349.4539706541805,6,-0.1074828681289482,washington,"Washington, NC",233423.93250632903,231687.98919270415,656,0.7492590874795116,,0.0,,"Washington, DC",0.12065234365345212,0.18178457899227418,6.086046517794768,2.5681167845002357
"Columbia, SC",1550.5894812573854,1511.5777234273182,72,2.5808635060863923,columbia,"Columbia, MO",318020.13295989035,310508.3108277069,219,2.4192016349448338,,0.0,,"Columbia, SC",0.05850910633206799,1.7581058929180071,3.683548181315161,2.549241587203486
"Madison, WI",1673.1994360400815,1626.7743083703388,88,2.853814904186082,madison,"Madison, WI",443055.9358589337,429918.7158646071,88,3.055745076812127,,0.0,,"Madison, WI",0.04531796463477202,2.058249484718071,3.1422357202570304,2.5264400331542967
"Louisville, KY",1371.3713558427746,1339.5813408503898,46,2.3731306209598277,louisville,"Louisville, KY",277723.5848229106,271277.9629786346,46,2.3760211752930616,,0.0,,"Louisville, KY",0.05925480286669457,1.6620586009718497,3.674968385056,2.4910405374451052
"El Paso, TX",1472.7362460527977,1443.9599156515656,69,1.992875985636156,el paso,"El Paso, TX",230500.1377258557,227343.0696605256,69,1.3886801432057325,,0.0,,"El Paso, TX",0.07667168934038851,1.2137544372161821,4.371027678467231,2.4784666183000503
"Columbia, SC",1550.5894812573854,1511.5777234273182,72,2.5808635060863923,columbia,"Columbia, SC",253198.62288286936,250866.6154909284,72,0.9295806009808729,,0.0,,"Columbia, SC",0.07348805283074675,1.3112195827288187,4.2835334028527035,2.476415258686071
"Oklahoma City, OK",1379.2916590501306,1341.4305311974058,42,2.8224441722620357,oklahoma city,"Oklahoma City, OK",244630.2918448738,242061.7228189972,42,1.0611215172575101,,0.0,,"Oklahoma City, OK",0.06765924115030401,1.4473141240820673,4.053563043693359,2.4651984539990686
"Jacksonville, FL",1679.411866832154,1668.8709430993422,40,0.631620064834712,jacksonville,"Jacksonville, NC",289953.7982927071,280420.82373108884,227,3.39952448423017,,0.0,,"Jacksonville, FL",0.06950397794631247,1.2725053712029357,3.941475358705583,2.429446699434205
"Dayton, OH",1320.887057708024,1281.6045026709917,74,3.0651074457965453,dayton,"Dayton, TN",261349.99421178192,258561.3054060373,797,1.0785406584196067,,0.0,,"Dayton, OH",0.06064911055498973,1.5496051758445002,3.7533310827507567,2.40214960944366
"Greensboro, NC",1427.8279983059226,1386.423106511873,76,2.9864542504792086,greensboro,"Greensboro, NC",263849.83086342533,261701.4455789074,76,0.820929849953827,,0.0,,"Greensboro, NC",0.06493821096493325,1.4408606551778316,3.9262943833378876,2.3999329569308845
"Albany, NY",1643.1499277717587,1579.3864262873285,64,4.037232460856295,albany,"Albany, OR",409113.7143227221,406305.0056179239,330,0.6912808520600433,,0.0,,"Albany, NY",0.048196377786805425,1.822277239960531,3.2863934667175343,2.347917507008008
"Indianapolis, IN",1513.5063950599276,1475.2721367167603,34,2.5916749453601295,indianapolis,"Indianapolis, IN",290744.5746756315,287108.6417250039,34,1.2663962076453703,,0.0,,"Indianapolis, IN",0.06246746568179857,1.416588840437663,3.7683478939264914,2.343450849155353
"Boise City, ID",1794.3527533235515,1720.9227722650546,79,4.266895774866722,boise city,"Boise City, ID",488569.9782549433,485514.9985077279,79,0.6292245876244992,,0.0,,"Boise City, ID",0.044071952838344,1.8955256862340386,3.119899255652994,2.3188139361330213
"Augusta, GA",1442.6514676948427,1427.0770496609578,96,1.0913508865961448,augusta,"Augusta, GA",246559.8938323081,241501.0186082047,96,2.094763514149222,,0.0,,"Augusta, GA",0.07021343716229995,1.0649694088832244,3.9384183868491487,2.255364887762148
"Fresno, CA",1999.3400980599752,1943.1569326398264,57,2.89133442988686,fresno,"Fresno, CA",409963.1223301206,407254.0846353935,57,0.6651959543026851,,0.0,,"Fresno, CA",0.05852253500352699,1.3560925582455494,3.57091323158399,2.2041500176122693
"Baton Rouge, LA",1361.240857011272,1330.830852997171,66,2.2850389999311016,baton rouge,"Baton Rouge, LA",245384.55691368552,244028.3291739169,66,0.5557665146336574,,0.0,,"Baton Rouge, LA",0.06656853426143314,1.080745554362538,3.841011164521243,2.1558240138664075
"Worcester, MA",2139.527678119612,2091.8372984660277,58,2.2798321690007337,worcester,"Worcester, MA",472894.6395856258,465714.4571258871,58,1.541756402421026,,0.0,,"Worcester, MA",0.05429186543525318,1.3744597883266012,3.3247353458049087,2.1552260600105404
"Birmingham, AL",1406.9167294316028,1384.8255094986437,51,1.5952349073174519,birmingham,"Birmingham, AL",259032.550894902,255663.93351989324,51,1.3175958488281059,,0.0,,"Birmingham, AL",0.06517713968708597,1.0333727175754126,3.709663550700599,2.1115122281439813
"Greenville, SC",1551.0590318388563,1544.1801900368553,61,0.4454688543722903,greenville,"Greenville, NC",243782.880261158,239521.9384357071,259,1.778935930995992,,0.0,,"Greenville, SC",0.07634953021363512,0.7118683210477137,4.084463874655813,2.1053652433333876
"Boston, MA",3148.343094068694,3087.2312285189846,10,1.9795039964993526,boston,"Boston, MA",731138.5580115025,719664.3386156372,10,1.5943848791976283,,0.0,,"Boston, MA",0.05167299236901955,1.2701170623590294,3.138988905670611,2.025907266129604
"New Orleans, LA",1610.2984904485918,1610.4403793932895,47,-0.00881056799824943,new orleans,"New Orleans, LA",256891.79305880444,251638.3757595082,47,2.087685267972383,,0.0,,"New Orleans, LA",0.07522070540011291,0.6227813531924151,3.968041683203234,2.023692254595879
"Ogden, UT",1640.7230184509788,1610.2378918394606,87,1.8932063868335218,ogden,"Ogden, UT",515981.2047466151,502635.5264292078,87,2.6551402787257805,,0.0,,"Ogden, UT",0.03815773915850353,1.553824638351143,2.5520422631644593,1.9949017689015722
"Provo, UT",1742.6751761644548,1705.9874827382655,92,2.1505253583280814,provo,"Provo, UT",542078.1389108676,530107.6168039724,92,2.258130562066944,,0.0,,"Provo, UT",0.03857765257973625,1.537649311951316,2.584800756859123,1.9812432996098854
"Baltimore, MD",1868.3969815282571,1829.1031465158403,20,2.1482569251092003,baltimore,"Baltimore, MD",399959.8141579682,396624.7585516088,20,0.8408591582982292,,0.0,,"Baltimore, MD",0.05605754124459058,1.1115605175331489,3.316614363081192,1.975842691999129
"Des Moines, IA",1268.0793185967866,1245.2222559888194,84,1.8355809573783002,des moines,"Des Moines, IA",290939.66544689325,286845.5151436768,84,1.427301487062043,,0.0,,"Des Moines, IA",0.05230277487185421,1.162422829069933,3.124985083774575,1.953555156416085
United States,1910.4249941685807,1875.848731532796,0,1.8432329885966774,united states,United States,366018.81522011664,364397.6998965514,0,0.4448752898345619,,0.0,,United States,0.06263366520170897,0.8707557823890396,3.54481738678824,1.9168620230718232
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,columbus,"Columbus, OH",326730.1088525419,322982.6741664121,32,1.160258733940318,,0.0,,"Columbus, OH",0.055589125931639165,1.0282688264365865,3.235577773103236,1.9119906068087311
"Jackson, MS",1440.2537343620454,1384.855085679858,98,4.000320990624879,jackson,"Jackson, WY",1410017.172059382,1384273.3941827395,768,1.8597321876464574,,0.0,,"Jackson, MS",0.012257329311175708,2.158048052543889,1.598903882448407,1.9101759303225925
"Greenville, SC",1551.0590318388563,1544.1801900368553,61,0.4454688543722903,greenville,"Greenville, SC",310898.0151014505,305591.1555557797,61,1.736588068466574,,0.0,,"Greenville, SC",0.059867569035436524,0.6991639622888883,3.2561310294929418,1.765139054137061
"Knoxville, TN",1730.9390785480855,1716.5398131076424,65,0.838854148938991,knoxville,"Knoxville, TN",361803.8791881092,357155.8849456156,65,1.301390915958543,,0.0,,"Knoxville, TN",0.05741029916314861,0.7259589343631594,3.1684248795410834,1.7252099569343053
"Spokane, WA",1520.2836228925346,1491.2035975380538,100,1.9501042917607818,spokane,"Spokane, WA",416800.1733597983,414701.1941126934,100,0.5061425616571799,,0.0,,"Spokane, WA",0.04377014368216683,0.9318844852014667,2.6291422986262156,1.586969801585866
"Albuquerque, NM",1488.904571167752,1476.18162466859,62,0.8618821889222675,albuquerque,"Albuquerque, NM",348859.6422167218,345859.66721302475,62,0.8673966027525456,,0.0,,"Albuquerque, NM",0.051215023728407125,0.6049718563946707,2.8198672844800643,1.4997142819329592
"Augusta, GA",1442.6514676948427,1427.0770496609578,96,1.0913508865961448,augusta,"Augusta, ME",311140.4246978411,310693.822960337,339,0.1437433590564623,,0.0,,"Augusta, GA",0.05563988552484043,0.4796633623553966,3.0146387894668965,1.4761388162397675
"Portland, OR",1779.7496857583794,1764.333787534683,25,0.8737517998358509,portland,"Portland, ME",532238.4490846862,526604.7172413539,105,1.069821757929722,,0.0,,"Portland, OR",0.04012674444288855,0.670447247313257,2.28806975790457,1.3321158682909569
"Salt Lake City, UT",1607.0705085301731,1617.1467752151314,48,-0.6230891864232774,salt lake city,"Salt Lake City, UT",564834.9693100314,555496.6443575026,48,1.6810767530971653,,0.0,,"Salt Lake City, UT",0.03414244363432259,0.2550873513598386,1.7506120197411907,0.91619130503376
